timeline,survival_prob
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,1.0
16.0,1.0
17.0,1.0
18.0,1.0
19.0,1.0
20.0,1.0
21.0,1.0
22.0,1.0
23.0,1.0
24.0,1.0
25.0,1.0
26.0,1.0
27.0,1.0
28.0,1.0
29.0,1.0
30.0,1.0
31.0,1.0
32.0,1.0
33.0,1.0
34.0,1.0
35.0,1.0
36.0,1.0
37.0,1.0
38.0,1.0
40.0,1.0
41.0,1.0
42.0,1.0
43.0,1.0
44.0,1.0
45.0,1.0
46.0,1.0
47.0,1.0
48.0,1.0
49.0,1.0
50.0,1.0
51.0,1.0
52.0,1.0
53.0,1.0
54.0,1.0
55.0,1.0
56.0,1.0
57.0,1.0
58.0,1.0
59.0,1.0
60.0,1.0
61.0,1.0
62.0,1.0
63.0,1.0
64.0,1.0
65.0,1.0
66.0,1.0
67.0,1.0
68.0,1.0
69.0,1.0
70.0,1.0
71.0,1.0
72.0,1.0
73.0,1.0
74.0,1.0
75.0,1.0
76.0,1.0
77.0,1.0
78.0,1.0
79.0,1.0
80.0,1.0
81.0,1.0
82.0,1.0
83.0,1.0
84.0,1.0
85.0,1.0
86.0,1.0
87.0,1.0
88.0,1.0
89.0,1.0
90.0,1.0
91.0,1.0
92.0,1.0
93.0,1.0
94.0,1.0
95.0,1.0
96.0,1.0
97.0,1.0
98.0,1.0
99.0,1.0
100.0,1.0
101.0,1.0
102.0,1.0
103.0,1.0
104.0,1.0
105.0,1.0
106.0,1.0
107.0,1.0
108.0,1.0
109.0,1.0
110.0,1.0
111.0,1.0
112.0,1.0
113.0,1.0
114.0,1.0
115.0,1.0
116.0,1.0
117.0,1.0
118.0,1.0
119.0,1.0
120.0,1.0
121.0,1.0
122.0,1.0
123.0,1.0
124.0,1.0
125.0,1.0
126.0,1.0
127.0,1.0
128.0,1.0
129.0,1.0
130.0,1.0
131.0,1.0
132.0,1.0
133.0,1.0
134.0,1.0
135.0,1.0
136.0,1.0
137.0,1.0
138.0,1.0
139.0,1.0
140.0,1.0
141.0,1.0
142.0,1.0
143.0,1.0
144.0,1.0
145.0,1.0
146.0,1.0
147.0,1.0
148.0,1.0
149.0,1.0
150.0,1.0
151.0,1.0
152.0,1.0
153.0,1.0
154.0,1.0
155.0,1.0
156.0,1.0
157.0,1.0
158.0,1.0
159.0,1.0
160.0,1.0
161.0,1.0
162.0,1.0
163.0,1.0
164.0,1.0
165.0,1.0
166.0,1.0
167.0,1.0
168.0,1.0
169.0,1.0
170.0,1.0
171.0,1.0
172.0,1.0
173.0,1.0
174.0,1.0
175.0,1.0
176.0,1.0
177.0,1.0
180.0,1.0
181.0,1.0
182.0,1.0
183.0,1.0
184.0,0.998470168281489
185.0,0.9979594418527
186.0,0.9979594418527
187.0,0.9974466158291372
188.0,0.9974466158291372
189.0,0.9964151301871214
190.0,0.9958977806906579
191.0,0.9953788136345403
192.0,0.9953788136345403
193.0,0.9953788136345403
194.0,0.9943376224068895
195.0,0.993294246097963
196.0,0.992771459652648
197.0,0.9922475697003247
199.0,0.9922475697003247
200.0,0.9917225709861968
201.0,0.9917225709861968
202.0,0.9917225709861968
203.0,0.991195899413713
204.0,0.9906692278412296
205.0,0.9906692278412296
206.0,0.990140306737203
207.0,0.9890801993424092
208.0,0.9880183848503613
209.0,0.9864230914410229
210.0,0.9848260761823489
211.0,0.9842925842667574
212.0,0.9832250218109364
213.0,0.9826903698143022
214.0,0.9821554267713991
215.0,0.9816193157305851
216.0,0.9805423883408647
217.0,0.9805423883408647
218.0,0.9805423883408647
219.0,0.9805423883408647
220.0,0.9794553125223053
221.0,0.9794553125223053
222.0,0.9783652120075333
223.0,0.9772726768740799
224.0,0.9767254917246544
225.0,0.9761773853881086
226.0,0.9761773853881086
227.0,0.9756264952157677
228.0,0.9756264952157677
229.0,0.975074357980218
230.0,0.9739669481471911
231.0,0.9739669481471911
232.0,0.9739669481471911
233.0,0.9728506536507473
234.0,0.9722921859965273
235.0,0.9717330760563337
236.0,0.9706135679041944
237.0,0.9700534908309666
238.0,0.9694914667922462
239.0,0.9678034375407216
240.0,0.9672394495235063
242.0,0.9672394495235063
243.0,0.9672394495235063
244.0,0.9672394495235063
245.0,0.9666738124185218
246.0,0.9661071806410197
248.0,0.9661071806410197
249.0,0.9661071806410197
250.0,0.9655392163960806
251.0,0.9655392163960806
252.0,0.9644026193196872
253.0,0.9632646811258
254.0,0.9632646811258
255.0,0.962694026693853
256.0,0.962694026693853
257.0,0.962122694927269
258.0,0.962122694927269
259.0,0.9615489783530723
260.0,0.9598268010784103
261.0,0.9592517101250985
262.0,0.9586759287864886
263.0,0.9581001474478781
264.0,0.9569478923096363
265.0,0.9563710701925124
266.0,0.9557932024763839
267.0,0.9546353669797435
268.0,0.9540553940957948
269.0,0.9540553940957948
270.0,0.9540553940957948
271.0,0.9534725868910934
272.0,0.9523033991695841
273.0,0.9523033991695841
274.0,0.9511306117321833
275.0,0.9452594351165531
276.0,0.9434925950509142
277.0,0.9423132293071007
278.0,0.9363867310095718
279.0,0.9363867310095718
280.0,0.9351923601792025
281.0,0.9345947931758934
282.0,0.9327940324954003
283.0,0.930385268047381
284.0,0.9297822963895407
285.0,0.9273657082247853
286.0,0.9249475447092058
287.0,0.9231267818259193
288.0,0.9200881814907447
289.0,0.9188662848353787
290.0,0.9176403124740243
