fpr,tpr
0.0,0.0
0.0,0.006172839506172839
0.0,0.04938271604938271
0.0023148148148148147,0.04938271604938271
0.0023148148148148147,0.12345679012345678
0.004629629629629629,0.12345679012345678
0.004629629629629629,0.18518518518518517
0.009259259259259259,0.18518518518518517
0.009259259259259259,0.19135802469135801
0.013888888888888888,0.19135802469135801
0.013888888888888888,0.19753086419753085
0.020833333333333332,0.19753086419753085
0.020833333333333332,0.21604938271604937
0.023148148148148147,0.21604938271604937
0.023148148148148147,0.2222222222222222
0.03009259259259259,0.2222222222222222
0.03009259259259259,0.2345679012345679
0.034722222222222224,0.2345679012345679
0.034722222222222224,0.24074074074074073
0.037037037037037035,0.24074074074074073
0.037037037037037035,0.25308641975308643
0.03935185185185185,0.25308641975308643
0.03935185185185185,0.25925925925925924
0.04398148148148148,0.25925925925925924
0.04398148148148148,0.2716049382716049
0.05324074074074074,0.2716049382716049
0.05324074074074074,0.2777777777777778
0.05555555555555555,0.2777777777777778
0.05555555555555555,0.2839506172839506
0.05787037037037037,0.2839506172839506
0.05787037037037037,0.30864197530864196
0.06018518518518518,0.30864197530864196
0.06018518518518518,0.3148148148148148
0.06712962962962964,0.3148148148148148
0.06712962962962964,0.32098765432098764
0.06944444444444445,0.32098765432098764
0.06944444444444445,0.345679012345679
0.07407407407407407,0.345679012345679
0.07407407407407407,0.35802469135802467
0.0763888888888889,0.35802469135802467
0.0763888888888889,0.36419753086419754
0.09490740740740741,0.36419753086419754
0.09490740740740741,0.3765432098765432
0.09953703703703703,0.3765432098765432
0.09953703703703703,0.38271604938271603
0.10185185185185185,0.38271604938271603
0.10185185185185185,0.3888888888888889
0.10416666666666667,0.3888888888888889
0.10416666666666667,0.3950617283950617
0.1111111111111111,0.3950617283950617
0.1111111111111111,0.4012345679012346
0.11342592592592593,0.4012345679012346
0.11342592592592593,0.4074074074074074
0.11574074074074074,0.4074074074074074
0.11574074074074074,0.42592592592592593
0.11805555555555555,0.42592592592592593
0.11805555555555555,0.4382716049382716
0.12268518518518519,0.4382716049382716
0.12268518518518519,0.4444444444444444
0.13194444444444445,0.4444444444444444
0.13194444444444445,0.4691358024691358
0.13657407407407407,0.4691358024691358
0.13657407407407407,0.47530864197530864
0.1527777777777778,0.47530864197530864
0.1527777777777778,0.48148148148148145
0.1550925925925926,0.48148148148148145
0.1550925925925926,0.4876543209876543
0.1574074074074074,0.4876543209876543
0.1574074074074074,0.49382716049382713
0.1712962962962963,0.49382716049382713
0.1712962962962963,0.5
0.17592592592592593,0.5
0.17592592592592593,0.5061728395061729
0.17824074074074073,0.5061728395061729
0.17824074074074073,0.5308641975308642
0.18981481481481483,0.5308641975308642
0.18981481481481483,0.5370370370370371
0.19212962962962962,0.5370370370370371
0.19212962962962962,0.5493827160493827
0.2013888888888889,0.5493827160493827
0.2013888888888889,0.5617283950617284
0.20601851851851852,0.5617283950617284
0.20601851851851852,0.5740740740740741
0.20833333333333334,0.5740740740740741
0.20833333333333334,0.5802469135802469
0.21296296296296297,0.5802469135802469
0.21296296296296297,0.5864197530864198
0.2199074074074074,0.5864197530864198
0.2199074074074074,0.5987654320987654
0.2222222222222222,0.5987654320987654
0.2222222222222222,0.6049382716049383
0.24537037037037038,0.6049382716049383
0.24537037037037038,0.6111111111111112
0.24768518518518517,0.6111111111111112
0.24768518518518517,0.6172839506172839
0.25,0.6172839506172839
0.25,0.6234567901234568
0.2662037037037037,0.6234567901234568
0.2662037037037037,0.6296296296296297
0.27314814814814814,0.6296296296296297
0.27314814814814814,0.6419753086419753
0.2847222222222222,0.6419753086419753
0.2847222222222222,0.6481481481481481
0.28935185185185186,0.6481481481481481
0.28935185185185186,0.654320987654321
0.2916666666666667,0.654320987654321
0.2916666666666667,0.6728395061728395
0.30324074074074076,0.6728395061728395
0.30324074074074076,0.6851851851851852
0.30787037037037035,0.6851851851851852
0.30787037037037035,0.691358024691358
0.31712962962962965,0.691358024691358
0.31712962962962965,0.6975308641975309
0.32175925925925924,0.6975308641975309
0.32175925925925924,0.7160493827160493
0.3263888888888889,0.7160493827160493
0.3263888888888889,0.7222222222222222
0.3287037037037037,0.7222222222222222
0.3287037037037037,0.7345679012345679
0.33564814814814814,0.7345679012345679
0.33564814814814814,0.7407407407407407
0.33796296296296297,0.7407407407407407
0.33796296296296297,0.7469135802469136
0.3425925925925926,0.7469135802469136
0.3425925925925926,0.7654320987654321
0.3472222222222222,0.7654320987654321
0.3472222222222222,0.7716049382716049
0.34953703703703703,0.7716049382716049
0.34953703703703703,0.7777777777777778
0.3541666666666667,0.7777777777777778
0.3541666666666667,0.7839506172839507
0.3587962962962963,0.7839506172839507
0.3587962962962963,0.7901234567901234
0.36342592592592593,0.7901234567901234
0.36342592592592593,0.8024691358024691
0.4074074074074074,0.8024691358024691
0.4074074074074074,0.808641975308642
0.41203703703703703,0.808641975308642
0.41203703703703703,0.8148148148148148
0.41898148148148145,0.8148148148148148
0.41898148148148145,0.8209876543209876
0.4351851851851852,0.8209876543209876
0.4351851851851852,0.8271604938271605
0.45601851851851855,0.8271604938271605
0.45601851851851855,0.8333333333333334
0.48148148148148145,0.8333333333333334
0.48148148148148145,0.8395061728395061
0.48842592592592593,0.8395061728395061
0.48842592592592593,0.845679012345679
0.49074074074074076,0.845679012345679
0.49074074074074076,0.8518518518518519
0.5023148148148148,0.8518518518518519
0.5023148148148148,0.8580246913580247
0.5115740740740741,0.8580246913580247
0.5115740740740741,0.8641975308641975
0.5208333333333334,0.8641975308641975
0.5208333333333334,0.8703703703703703
0.5231481481481481,0.8703703703703703
0.5231481481481481,0.8765432098765432
0.5254629629629629,0.8765432098765432
0.5254629629629629,0.8827160493827161
0.5300925925925926,0.8827160493827161
0.5300925925925926,0.8950617283950617
0.5462962962962963,0.8950617283950617
0.5462962962962963,0.9074074074074074
0.5648148148148148,0.9074074074074074
0.5648148148148148,0.9197530864197531
0.5671296296296297,0.9197530864197531
0.5671296296296297,0.9259259259259259
0.5879629629629629,0.9259259259259259
0.5879629629629629,0.9382716049382716
0.5902777777777778,0.9382716049382716
0.5902777777777778,0.9506172839506173
0.6226851851851852,0.9506172839506173
0.6226851851851852,0.9629629629629629
0.6805555555555556,0.9629629629629629
0.6805555555555556,0.9691358024691358
0.6944444444444444,0.9691358024691358
0.6944444444444444,0.9753086419753086
0.7013888888888888,0.9753086419753086
0.7013888888888888,0.9814814814814815
0.7129629629629629,0.9814814814814815
0.7129629629629629,0.9876543209876543
0.7662037037037037,0.9876543209876543
0.7662037037037037,0.9938271604938271
0.8657407407407407,0.9938271604938271
0.8657407407407407,1.0
1.0,1.0
