timeline,survival_prob,segment
231.0,0.9735635359827502,High Review Score
232.0,0.9735635359827502,High Review Score
233.0,0.9710149403388165,High Review Score
234.0,0.9697406425168494,High Review Score
235.0,0.9697406425168494,High Review Score
237.0,0.9697406425168494,High Review Score
238.0,0.9684562178247742,High Review Score
239.0,0.9671700873894162,High Review Score
244.0,0.9671700873894162,High Review Score
245.0,0.9658770792511948,High Review Score
248.0,0.9658770792511948,High Review Score
249.0,0.9658770792511948,High Review Score
251.0,0.9658770792511948,High Review Score
252.0,0.9645753581201283,High Review Score
253.0,0.9619683976927768,High Review Score
254.0,0.9619683976927768,High Review Score
257.0,0.9606595971516979,High Review Score
258.0,0.9606595971516979,High Review Score
259.0,0.9606595971516979,High Review Score
260.0,0.9593381946796872,High Review Score
261.0,0.9593381946796872,High Review Score
264.0,0.9566844237400478,High Review Score
265.0,0.9553556953737423,High Review Score
266.0,0.9553556953737423,High Review Score
267.0,0.9526833717503194,High Review Score
268.0,0.9526833717503194,High Review Score
269.0,0.9526833717503194,High Review Score
270.0,0.9526833717503194,High Review Score
271.0,0.9526833717503194,High Review Score
272.0,0.949976884898756,High Review Score
273.0,0.949976884898756,High Review Score
275.0,0.9459055553920475,High Review Score
276.0,0.9445445402044333,High Review Score
277.0,0.9445445402044333,High Review Score
278.0,0.9418027563431719,High Review Score
279.0,0.9418027563431719,High Review Score
280.0,0.9418027563431719,High Review Score
281.0,0.9418027563431719,High Review Score
282.0,0.9404197860695401,High Review Score
283.0,0.9362647649234302,High Review Score
284.0,0.9348797578747271,High Review Score
285.0,0.9307123889688961,High Review Score
286.0,0.9293232660002863,High Review Score
287.0,0.9265325054417264,High Review Score
288.0,0.9265325054417264,High Review Score
289.0,0.9251329095120556,High Review Score
290.0,0.9223166753887315,High Review Score
291.0,0.9223166753887315,High Review Score
292.0,0.920906405242877,High Review Score
293.0,0.920906405242877,High Review Score
294.0,0.9194896261578884,High Review Score
295.0,0.9194896261578884,High Review Score
296.0,0.9194896261578884,High Review Score
297.0,0.9180618472352824,High Review Score
298.0,0.9180618472352824,High Review Score
300.0,0.9166296134642445,High Review Score
301.0,0.9166296134642445,High Review Score
302.0,0.9166296134642445,High Review Score
303.0,0.9151815414050599,High Review Score
307.0,0.9137311744614708,High Review Score
