feature,coef,hazard_ratio,p_value,significant
avg_delivery_delay_days,0.012661931261881922,1.0127424329235446,2.7023783515037487e-13,True
avg_review_score,0.002108890476971132,1.0021111157505043,0.95302281891625,False
avg_order_value,-4.624938278669007e-05,0.9999537516866995,0.7043757007698478,False
total_reviews,-0.005276388647619943,0.9947375070405343,2.2897623306340785e-12,True
total_orders,-0.005777427963957295,0.9942392292788702,7.906373316205102e-12,True
unique_products,-0.02213306339454546,0.9781100757447648,4.658340607798354e-18,True
